"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 9408 (MP)","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","Otto, Donald","*"
"Washoe","GER-WADS 9408 (MP)","Palomino Valley General Improvement District","PATTERSON, JOHN","*"
"Washoe","GER-WADS 9408 (MP)","Supreme Court Justice, Seat B","Pickering, Kristina","*"
"Washoe","GER-WADS 9408 (MP)","State Assembly, District 32","POVILAITIS, PAULA","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","*"
"Washoe","GER-WADS 9408 (MP)","President and Vice President of the United States","TRUMP, DONALD J.","*"
"Washoe","GER-WADS 9408 (MP)","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","*"
